STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       3379;19550101;19551231;    1;  -999;   8.06;   11.96;    4.31;-999;-999;-999;  30.8; -12.2;    1;  1159.1;   86.7;eor
       3379;19560101;19561231;    1;  -999;   7.23;   11.39;    3.26;-999; 1627.50;-999;  29.7; -25.4;    1;   954.4;   38.4;eor
       3379;19570101;19571231;    1;  -999;   8.95;   13.19;    4.96;-999; 1695.60;-999;  35.0; -16.9;    1;  1022.1;   92.4;eor
       3379;19580101;19581231;    1;  -999;   8.81;   12.89;    4.79;-999; 1762.10;-999;  31.8; -11.9;    1;   937.8;   28.5;eor
       3379;19590101;19591231;    1;  -999;   9.35;   13.96;    4.75;-999; 2004.80;-999;  32.6; -16.8;    1;   695.9;   55.9;eor
       3379;19600101;19601231;    1;  -999;   8.94;   13.09;    5.00;-999; 1648.30;-999;  29.8; -16.4;    1;  1004.7;   50.3;eor
       3379;19610101;19611231;    1;  -999;   9.67;   14.17;    5.29;-999; 1839.70;-999;  30.5; -16.9;    1;   992.3;   50.5;eor
       3379;19620101;19621231;    1;  -999;   7.88;   12.22;    3.82;-999; 1800.00;-999;  33.0; -20.7;    1;   794.6;   29.5;eor
       3379;19630101;19631231;    1;  -999;   7.93;   12.09;    3.78;-999; 1597.70;-999;  32.3; -20.4;    1;   848.7;   45.8;eor
       3379;19640101;19641231;    1;  -999;   8.88;   12.73;    4.95;-999; 1604.40;-999;  33.7; -13.7;    1;  1060.6;   52.4;eor
       3379;19650101;19651231;    1;  -999;   8.24;   12.20;    4.57;-999; 1456.00;-999;  32.6; -15.9;    1;  1254.2;   51.8;eor
       3379;19660101;19661231;    1;  -999;   9.47;   13.31;    5.77;-999; 1516.10;-999;  33.6; -16.8;    1;  1298.1;   32.0;eor
       3379;19670101;19671231;    1;  -999;   9.62;   13.76;    5.56;-999; 1815.10;-999;  34.2; -13.8;    1;   933.4;   32.4;eor
       3379;19680101;19681231;    1;  -999;   8.91;   12.81;    5.14;-999; 1536.00;-999;  30.3; -18.3;    1;  1055.3;   61.3;eor
       3379;19690101;19691231;    1;  -999;   8.72;   12.71;    4.74;-999; 1671.40;-999;  31.2; -16.5;    1;   905.4;   47.3;eor
       3379;19700101;19701231;    1;  -999;   8.72;   12.51;    5.03;-999; 1510.00;-999;  33.4; -11.7;    1;   946.1;   61.5;eor
       3379;19710101;19711231;    1;  -999;   9.21;   13.44;    4.98;-999; 1831.20;-999;  32.8; -16.1;    1;   919.4;   33.8;eor
       3379;19720101;19721231;    1;  -999;   8.73;   12.75;    4.69;-999; 1653.40;-999;  34.6; -10.2;    1;   794.0;   63.2;eor
       3379;19730101;19731231;    1;  -999;   8.79;   12.64;    5.01;-999; 1708.20;-999;  30.7; -17.2;    1;   878.9;   45.3;eor
       3379;19740101;19741231;    1;  -999;   9.65;   13.51;    5.87;-999; 1649.30;-999;  34.7;  -6.5;    1;  1080.7;   34.0;eor
       3379;19750101;19751231;    1;  -999;   9.47;   13.22;    5.51;-999; 1771.00;-999;  31.6; -18.7;    1;   999.8;   61.9;eor
       3379;19760101;19761231;    1;  -999;   9.34;   13.11;    5.26;-999; 1878.00;-999;  33.6; -16.7;    1;   779.7;   29.8;eor
       3379;19770101;19771231;    1;  -999;   9.70;   13.61;    5.95;-999; 1574.90;-999;  30.8; -10.2;    1;   989.2;   55.8;eor
       3379;19780101;19781231;    1;  -999;   8.63;   12.35;    4.82;-999; 1614.50;-999;  29.0; -11.0;    1;   948.8;  101.6;eor
       3379;19790101;19791231;    1;  -999;   9.26;   13.12;    5.55;-999; 1592.90;-999;  31.2; -15.5;    1;  1140.6;   85.6;eor
       3379;19800101;19801231;    1;  -999;   8.62;   12.32;    5.16;-999; 1554.40;-999;  34.7; -13.4;    1;  1033.5;   38.8;eor
       3379;19810101;19811231;    1;  -999;   9.37;   13.31;    5.62;-999; 1674.70;-999;  31.2; -13.2;    1;  1184.0;   61.1;eor
       3379;19820101;19821231;    1;  -999;   9.90;   13.98;    6.03;-999; 1775.50;-999;  31.8; -13.0;    1;   843.4;   36.4;eor
       3379;19830101;19831231;    1;  -999;  10.04;   14.24;    6.08;-999; 1821.70;-999;  37.5; -11.0;    1;   977.1;   59.8;eor
       3379;19840101;19841231;    1;  -999;   8.78;   12.62;    5.16;-999; 1654.10;-999;  37.1; -11.6;    1;   728.4;   39.8;eor
       3379;19850101;19851231;   10;  4.94;   8.58;   12.74;    4.59;    1.56; 1816.80;  22.0;  32.4; -21.0;   10;  1018.5;   45.8;eor
       3379;19860101;19861231;   10;  5.04;   9.08;   13.23;    5.29;    1.55; 1742.20;  31.4;  31.6; -14.0;   10;   856.0;   25.2;eor
       3379;19870101;19871231;   10;  5.44;   8.70;   12.48;    5.17;    1.56; 1451.20;  28.8;  31.1; -22.2;   10;  1038.8;   59.6;eor
       3379;19880101;19881231;   10;  5.37;   9.91;   13.83;    6.18;    1.76; 1587.90;  38.6;  34.0; -11.0;   10;   993.5;   45.4;eor
       3379;19890101;19891231;   10;  4.76;  10.10;   14.32;    6.26;-999; 1764.00;  24.2;  32.9; -10.3;   10;   915.2;   75.3;eor
       3379;19900101;19901231;   10;  4.65;  10.23;   14.72;    6.15;    1.63; 1928.80;  35.0;  32.0; -11.3;   10;  1022.3;   42.0;eor
       3379;19910101;19911231;   10;  4.87;   9.03;   13.16;    5.27;    1.60; 1735.60;  23.1;  32.7; -15.2;    9;   907.8;   66.9;eor
       3379;19920101;19921231;   10;  4.93;  10.45;   14.55;    6.64;    1.64; 1729.70;  29.8;  34.8; -10.1;    9;   888.3;   33.1;eor
       3379;19930101;19931231;   10;  5.26;   9.64;   13.62;    6.03;    1.65; 1658.00;  30.4;  30.9; -12.5;    9;   946.3;   36.9;eor
       3379;19940101;19941231;   10;  5.25;  11.18;   15.09;    7.50;    1.68; 1751.20;  31.9;  34.0;  -9.6;    9;   859.2;   46.4;eor
       3379;19950101;19951231;   10;  5.60;   9.72;   13.44;    6.23;    1.73; 1569.20;-999;  34.5; -11.5;    9;  1087.2;   80.0;eor
       3379;19960101;19961231;   10;  5.57;   8.28;   11.96;    4.86;    1.62; 1594.00;  25.7;  31.0; -16.5;    9;   896.2;   44.0;eor
       3379;19970101;19971231;   10;  5.17;   9.78;   14.09;    5.86;    2.00;-999;  26.2;  29.0; -12.1;    9;   792.2;   53.7;eor
       3379;19980101;19981231;   10;  5.40;  10.05;   14.41;    6.22;    2.17; 1764.30;  31.4;  34.8; -10.8;    9;   890.6;   35.0;eor
       3379;19990101;19991231;   10;  5.36;   9.86;   14.20;    6.10;    2.19; 1795.50;  23.0;  33.7; -12.6;    9;  1032.5;   50.1;eor
       3379;20000101;20001231;   10;  5.33;  10.59;   15.03;    6.72;    2.19; 1843.20;  25.0;  33.5; -16.4;    9;  1191.1;   97.9;eor
       3379;20010101;20011231;   10;  5.31;   9.72;   14.00;    5.90;    2.28; 1828.60;  24.4;  32.1; -15.5;    9;  1052.0;   35.7;eor
       3379;20020101;20021231;   10;  5.32;  10.44;   14.91;    6.42;    2.34; 1855.30;  30.3;  33.9; -12.5;    9;  1126.4;   81.8;eor
       3379;20030101;20031231;   10;  4.77;  10.19;   15.13;    5.69;    2.20; 2171.00;  30.9;  37.0; -13.1;    9;   656.9;   39.9;eor
       3379;20040101;20041231;   10;  5.57;   9.51;   13.69;    5.62;-999; 1783.80;  28.4;  31.5; -11.5;    9;   814.0;   26.2;eor
       3379;20050101;20051231;   10;  5.34;   9.19;   13.51;    5.21;    2.20; 1900.80;  29.9;  33.5; -16.0;    9;  1017.9;   63.8;eor
       3379;20060101;20061231;   10;  4.98;   9.86;   14.46;    5.70;    2.18; 1997.90;  25.5;  34.8; -13.3;    9;   855.4;   35.2;eor
       3379;20070101;20071231;   10;  5.10;  10.56;   15.11;    6.39;    2.23; 1986.10;  29.6;  35.2;  -8.9;    9;  1068.8;   46.5;eor
       3379;20080101;20081231;   10;  5.30;  10.17;   14.68;    6.13;    2.12; 1908.80;  28.9;  33.0;  -7.9;    9;   859.5;   45.4;eor
       3379;20090101;20091231;   10;  5.15;   9.91;   14.48;    5.85;    2.08; 1797.70;  25.9;  35.2; -15.8;    9;   916.2;   47.0;eor
       3379;20100101;20101231;    9;  5.56;   8.83;   12.96;    5.08;    2.24; 1633.20;  24.2;  33.7; -10.9;    9;  1016.0;   49.7;eor
       3379;20110101;20111231;    3;  -999;  10.43;   15.42;    6.05;    2.19; 2085.30;  27.8;  35.8; -10.5;    9;   972.3;   91.5;eor
       3379;20120101;20121231;    3;  -999;  10.15;   14.65;    6.00;    2.22; 1906.30;  27.9;  34.7; -16.6;    9;   963.6;   46.3;eor
       3379;20130101;20131231;    9;  -999;   9.50;   13.66;    5.67;-999; 1602.00;  22.5;  36.9;  -9.2;    9;   930.0;   56.7;eor
       3379;20140101;20141231;    9;  -999;  11.06;   15.59;    6.93;    2.06; 1666.40;-999;  33.9; -11.6;    9;   854.0;   35.3;eor
       3379;20150101;20151231;    3;  4.98;  11.06;   15.79;    6.68;-999; 1981.42;-999;  36.9;  -9.1;    9;   848.9;   56.9;eor
       3379;20160101;20161231;    3;  -999;  10.41;   14.95;    6.43;-999; 1714.55;-999;  33.2;  -8.1;    9;   954.9;   31.3;eor
       3379;20170101;20171231;    3;  -999;  10.40;   15.10;    6.17;    2.27; 1792.95;  26.4;  35.8; -14.8;    9;   920.7;   34.5;eor
       3379;20180101;20181231;    3;  -999;  11.31;   16.10;    7.06;    2.20; 2165.68;  26.6;  35.1; -13.4;    9;   945.1;   61.7;eor
       3379;20190101;20191231;    3;  -999;  10.97;   15.73;    6.56;    2.27; 2013.20;  24.6;  35.3;  -8.0;    3;   965.0;   71.2;eor
