STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       4931;19410101;19411231;    5;  -999;   7.44;   11.78;    3.24;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19420101;19421231;    5;  -999;   7.84;   12.41;    3.18;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19430101;19431231;    5;  -999;   9.33;   14.32;    4.56;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19440101;19441231;    5;  -999;   8.37;   12.68;    4.26;-999;-999;-999;-999;-999;-999;-999;-999;eor
       4931;19530101;19531231;    5;  5.16;   9.16;   13.53;    4.85;    1.44;-999;-999;  31.1; -14.4;    5;   609.1;   36.5;eor
       4931;19540101;19541231;    5;  5.55;   8.24;   12.28;    4.26;    1.69;-999;-999;  30.9; -16.9;    5;   817.5;   33.7;eor
       4931;19550101;19551231;    5;  5.52;   8.21;   12.42;    4.10;    1.59;-999;-999;  31.7; -10.0;    5;   628.0;   36.7;eor
       4931;19560101;19561231;    5;  5.43;   7.38;   11.57;    3.25;    1.87;-999;-999;  29.1; -25.6;    5;   701.0;   35.8;eor
       4931;19570101;19571231;    5;  5.36;   9.04;   13.31;    4.87;    1.97;-999;-999;  34.8; -16.7;    5;   632.2;   40.4;eor
       4931;19580101;19581231;    5;  5.76;   8.90;   13.04;    4.93;    2.08;-999;-999;  31.4; -11.7;    5;   839.3;   35.2;eor
       4931;19590101;19591231;    5;  4.73;   9.73;   14.57;    4.90;    1.76;-999;-999;  32.2; -14.1;    5;   583.5;   47.3;eor
       4931;19600101;19601231;    5;  5.90;   9.14;   13.33;    5.14;    1.99;-999;-999;  29.4; -17.3;    5;   727.1;   28.5;eor
       4931;19610101;19611231;    5;  5.36;   9.85;   14.35;    5.41;    2.03;-999;-999;  30.6; -13.5;    5;   632.2;   25.3;eor
       4931;19620101;19621231;    5;  5.28;   7.99;   12.34;    3.53;    2.20;-999;-999;  32.6; -19.7;    5;   594.5;   20.0;eor
       4931;19630101;19631231;    5;  5.35;   7.79;   12.08;    3.35;    1.77;-999;-999;  31.6; -20.0;    5;   722.9;   41.5;eor
       4931;19640101;19641231;    5;  5.31;   9.18;   13.28;    4.82;    1.81;-999;-999;  33.5; -12.6;    5;   614.2;   28.0;eor
       4931;19650101;19651231;    5;  5.67;   8.25;   12.30;    4.32;    2.05;-999;-999;  31.0; -15.0;    5;  1057.4;   38.7;eor
       4931;19660101;19661231;    5;  5.67;   9.51;   13.46;    5.58;    1.96;-999;-999;  34.0; -18.9;    5;   825.6;   57.1;eor
       4931;19670101;19671231;    5;  5.08;   9.48;   13.88;    5.17;    1.97;-999;-999;  33.1; -16.3;    5;   728.4;   19.0;eor
       4931;19680101;19681231;    5;  5.58;   8.71;   12.70;    4.90;    1.95;-999;-999;  29.8; -19.1;    5;   967.2;   35.4;eor
       4931;19690101;19691231;    5;  5.36;   8.63;   12.65;    4.70;    1.91;-999;-999;  31.0; -14.0;    5;   650.0;   22.7;eor
       4931;19700101;19701231;    5;  5.56;   8.84;   12.80;    4.97;    2.17;-999;-999;  32.8; -10.3;    5;   775.3;   41.6;eor
       4931;19710101;19711231;    5;  5.01;   9.33;   13.75;    4.79;    1.70;-999;  22.0;  34.3; -18.4;    5;   627.9;   68.3;eor
       4931;19720101;19721231;    5;  5.17;   8.63;   12.82;    4.47;    1.71;-999;  22.8;  33.0; -10.0;    5;   601.9;   41.9;eor
       4931;19730101;19731231;    5;  5.03;   8.47;   12.82;    4.21;    1.74;-999;  23.7;  31.1; -17.6;    5;   690.9;   37.0;eor
       4931;19740101;19741231;    5;  5.54;   9.28;   13.47;    5.19;    1.80;-999;  26.9;  34.2;  -6.5;    5;   711.5;   32.7;eor
       4931;19750101;19751231;    5;  5.14;   8.98;   13.35;    4.85;    1.52;-999;  22.8;  31.2; -13.7;    5;   679.2;   56.0;eor
       4931;19760101;19761231;    5;  4.90;   8.82;   13.71;    3.98;    1.58;-999;  31.7;  33.2; -21.0;    5;   557.0;   25.7;eor
       4931;19770101;19771231;    5;  5.50;   9.14;   13.74;    4.83;    1.84;-999;  28.0;  30.0; -14.4;    5;   669.2;   27.3;eor
       4931;19780101;19781231;    5;  5.42;   7.92;   12.30;    3.62;    1.87;-999;  27.1;  29.8; -15.5;    5;   825.5;   50.3;eor
       4931;19790101;19791231;    5;  5.35;   8.46;   13.21;    4.11;    1.87;-999;  26.4;  30.7; -17.0;    5;   677.3;   50.8;eor
       4931;19800101;19801231;    5;  5.22;   8.09;   12.57;    3.82;    1.95;-999;  24.8;  32.8; -15.0;    5;   598.3;   20.2;eor
       4931;19810101;19811231;   10;  5.38;   8.81;   13.42;    4.26;    2.06;-999;  27.6;  30.0; -14.0;   10;   698.3;   26.0;eor
